step_counts,[56305, 98967, 95240, 48440, 50495, 61933]
distanceWalkingRunning,[42.3, 64.76, 70.24, 35.08, 36.58, 45.09]
activeEnergyBurned,[1734.21, 2962.48, 3347.59, 1976.33, 3256.87, 3793.04]
basalEnergyBurned,[12052.41, 14374.21, 14594.46, 14076.19, 14366.66, 14540.41]
appleExerciseTime,[36, 174, 91, 65, 63, 48]
heartRate,[84.3, 88.3, 83.39, 86.89, 84.73, 82.84]
restingHeartRate,[76.75, 59.86, 61.57, 60.4, 63.71, 60.71]
walkingHeartRateAverage,[94.33, 90.6, 85.1, 48.0, 64.33, 87.79]
bm,[]
bmi,[]
respiratoryRate,[]
